"Sl. No.","Affected States/ UTs","2015(Prov.) - Cases","2015(Prov.) - Deaths","2016 - Cases","2016 - Deaths"
1,"Andhra Pradesh",3159,2,2832,0
2,"Arunachal Pradesh",1933,1,13,0
3,Assam,1076,1,3993,4
4,Bihar,1771,0,1607,0
5,Chhattisgarh,384,1,324,2
6,Goa,293,0,113,0
7,Gujarat,5590,9,5371,13
8,Haryana,9921,13,2284,0
9,"Himachal Pradesh",19,1,251,0
10,"Jammu & Kashmir",153,0,77,0
11,Jharkhand,102,0,388,1
12,Karnataka,5077,9,5375,8
13,Kerala,4075,25,6620,12
14,"Madhya Pradesh",2108,8,2321,5
15,Meghalaya,13,0,91,0
16,Maharashtra,4936,23,5653,22
17,Manipur,52,0,35,0
18,Mizoram,43,0,29,0
19,Nagaland,21,1,0,0
20,Odisha,2450,2,8142,11
21,Punjab,14128,18,9314,8
22,Rajasthan,4043,7,3051,16
23,Sikkim,21,0,8,0
24,"Tamil Nadu",4535,12,2044,4
25,Tripura,40,0,49,0
26,Telangana,1831,2,2269,3
27,"Uttar Pradesh",2892,9,6698,33
28,Uttarakhand,1655,1,2125,3
29,"West Bengal",8516,14,11069,28
30,"A & N Island",153,0,90,0
31,Chandigarh,966,1,836,0
32,Delhi,15867,60,3913,4
33,"Dadra & Nagar Haveli",1154,0,2821,0
34,"Daman & Diu",165,0,64,0
35,Puducherry,771,0,407,2
Total,Total,99913,220,90277,179
