"Sl. No.",State,2012,2013,2014
1,"Andhra Pradesh",2,1,5
2,"Arunachal Pradesh",0,0,0
3,Assam,5,2,0
4,Bihar,3,5,0
5,Chhattisgarh,0,2,9
6,Goa,0,2,1
7,Gujarat,6,15,3
8,Haryana,2,5,2
9,"Himachal Pradesh",0,2,0
10,"Jammu and Kashmir",1,3,0
11,Jharkhand,0,0,0
12,Karnataka,21,12,2
13,Kerala,15,29,11
14,"Madhya Pradesh",6,9,13
15,Meghalaya,2,0,0
16,Maharashtra,59,48,54
17,Manipur,0,0,0
18,Mizoram,0,0,0
19,Nagaland,0,0,0
20,Odisha,6,6,9
21,Punjab,9,25,2
22,Rajasthan,10,10,7
23,Sikkim,0,0,0
24,"Tamil Nadu",66,0,3
25,Tripura,0,0,0
26,Telangana,0,0,1
27,"Uttar Pradesh",4,5,0
28,Uttrakhand,2,0,0
29,"West Bengal",11,6,4
30,"AandN Island",0,0,0
31,Chandigarh,2,0,0
32,Delhi,4,6,3
33,"DandN Haveli",1,0,1
34,"Daman and Diu",0,0,0
35,Puducherry,5,0,1
36,Lakshadweep,NA,NA,NA
TOTAL,TOTAL,242,193,131
