"State/ UT Name","Number of PLHIV in active care"
"Andhra Pradesh",193415
"Arunachal Pradesh",91
Assam,5805
Bihar,40367
Chandigarh,5478
Chattisgarh,12750
Delhi,25591
Goa,2822
Gujarat,58071
Haryana,9237
"Himachal Pradesh",3665
Jammu&Kashmir,2214
Jharkhand,10231
Karnataka,159125
Kerala,14001
"Madhya Pradesh",21168
Maharashtra,213339
Manipur,15421
Meghalaya,1475
Mizoram,6546
Mumbai,44605
Nagaland,8058
Odisha,15912
Pondicherry,1291
Punjab,27342
Rajasthan,33162
Sikkim,165
"Tamil Nadu",114720
Telangana,84420
Tripura,1017
"Uttar Pradesh",63106
Uttarakhand,3171
"West Bengal",35346
Total,1233127
