States,"Percentage HIV positive among women and men age 15-49 (and men age 15-54) who were tested by state, India - Women - Percentage HIV positibve","Percentage HIV positive among women and men age 15-49 (and men age 15-54) who were tested by state, India - Men - Percentage HIV positibve","Percentage HIV positive among women and men age 15-49 (and men age 15-54) who were tested by state, India - Women and men - Percentage HIV positibve","Percentage HIV positive among women and men age 15-49 (and men age 15-54) who were tested by state, India - Men age 15-54 - Percentage HIV positibve"
"Andhra Pradesh",0.75,1.22,0.97,1.2
Karnataka,0.54,0.85,0.69,0.82
Maharashtra,0.48,0.77,0.62,0.75
Manipur,0.76,1.59,1.13,1.51
"Tamil Nadu",0.39,0.27,0.34,0.27
"Total for five high HIV prevalence states",0.55,0.82,0.67,0.8
"Uttar Pradesh",0.05,0.1,0.07,0.1
"Total for five high HIV prevalence states and Uttar Pradesh",0.38,0.57,0.47,0.57
"All other states - Not including Uttar Pradesh including Uttar Pradesh",0.09,0.18,0.13,0.18
"All other states - Including Uttar Pradesh",0.08,0.16,0.12,0.17
